dataset,method,n_runs,auroc_mean,auroc_std,auprc_mean,auprc_std,p_at_k_mean,p_at_k_std,runtime_mean
bank_swap,QCAD,5,0.5163371999999999,0.01169843992590465,0.054687,0.001487782074095533,0.098,0.023874672772626646,6.6823999999999995
bank_swap,ROCOD,5,0.5297256,0.009966422442381226,0.0531926,0.0015319622384380106,0.052000000000000005,0.027748873851023217,4.3566
bank_swap,PNKDIF,5,0.5378014,0.008519992828635475,0.0568384,0.001692686710528561,0.09,0.022360679774997897,6.6212
bank_swap,PNKDIF_uniform,5,0.5378816000000001,0.010455055298753787,0.05691020000000001,0.001953665068531452,0.08600000000000001,0.025099800796022267,6.0366
bank_swap,PNKDIF_noMLP,5,0.535045,0.005163040238076805,0.0565102,0.0016161162396312974,0.08,0.03674234614174767,3.9219999999999997
cardio,IF,5,0.9485174000000001,0.007290170869053746,0.6545789999999999,0.0402593744362726,0.712,0.036331804249169895,0.14020000000000002
cardio,IF_concat,5,0.9270035999999999,0.00899250845426346,0.5707008,0.03410995187918036,0.594,0.05594640292279746,0.1406
cardio,DIF,5,0.9434205999999999,0.0056543930531932655,0.5881207999999999,0.03185856810498548,0.602,0.04147288270665544,0.8564
cardio,DIF_concat,5,0.9285540000000001,0.006109853967158265,0.5177792,0.023206076460703134,0.518,0.04438468204234429,0.7796
cardio,LOF,5,0.547092,0.0,0.15524,0.0,0.22000000000000003,3.1031676915590914e-17,0.017599999999999998
cardio,QCAD,5,0.709426,0.0,0.191609,0.0,0.27,0.0,0.305
cardio,ROCOD,5,0.768113,0.0,0.45451800000000003,6.206335383118183e-17,0.71,0.0,0.14040000000000002
cardio,PNKDIF,5,0.7440456,0.017798834857933828,0.23943980000000004,0.014661285711014577,0.37,0.0187082869338697,0.8812
cardio,PNKDIF_uniform,5,0.7567812,0.008251854015916663,0.2541432,0.017450439699331362,0.386,0.028809720581775847,0.867
cardio,PNKDIF_noMLP,5,0.780166,0.013798750070205642,0.31637919999999997,0.021003194464176166,0.43200000000000005,0.021679483388678793,0.236
