dataset,method,seed,auroc,auprc,p_at_k,runtime_sec,timestamp
syn_scale,DIF,456,0.965208,0.784965,1.000000,1.170,2026-01-31T02:30:22.643778
syn_scale,DIF_concat,456,0.987873,0.855069,1.000000,1.207,2026-01-31T02:30:23.852706
syn_scale,LOF,456,0.610204,0.176205,0.450000,0.046,2026-01-31T02:30:23.900480
syn_scale,QCAD,456,0.988114,0.771228,0.900000,0.173,2026-01-31T02:30:24.075320
syn_scale,ROCOD,456,0.999001,0.986368,1.000000,0.110,2026-01-31T02:30:24.186546
syn_scale,PNKDIF,456,0.998775,0.982367,1.000000,1.277,2026-01-31T02:30:25.465448
syn_scale,PNKDIF_uniform,456,0.998830,0.983329,1.000000,1.215,2026-01-31T02:30:26.682338
syn_scale,PNKDIF_noMLP,456,0.998739,0.982068,1.000000,0.283,2026-01-31T02:30:26.967293
syn_scale,IF,789,0.968756,0.795042,1.000000,0.176,2026-01-31T02:30:27.145961
syn_scale,IF_concat,789,0.992507,0.893232,1.000000,0.182,2026-01-31T02:30:27.329837
syn_scale,DIF,789,0.969299,0.798393,1.000000,1.130,2026-01-31T02:30:28.461017
syn_scale,DIF_concat,789,0.989046,0.866252,1.000000,1.221,2026-01-31T02:30:29.683798
syn_scale,LOF,789,0.640758,0.175505,0.430000,0.054,2026-01-31T02:30:29.739832
syn_scale,QCAD,789,0.990724,0.800003,0.930000,0.173,2026-01-31T02:30:29.915218
syn_scale,ROCOD,789,0.999023,0.987067,1.000000,0.119,2026-01-31T02:30:30.036932
syn_scale,PNKDIF,789,0.998864,0.984200,1.000000,1.393,2026-01-31T02:30:31.432188
syn_scale,PNKDIF_uniform,789,0.998879,0.984399,1.000000,1.739,2026-01-31T02:30:33.173145
syn_scale,PNKDIF_noMLP,789,0.998774,0.982199,1.000000,0.390,2026-01-31T02:30:33.565258
syn_scale,IF,1011,0.962888,0.795075,1.000000,0.238,2026-01-31T02:30:33.806549
syn_scale,IF_concat,1011,0.988847,0.852061,1.000000,0.281,2026-01-31T02:30:34.089541
syn_scale,DIF,1011,0.963819,0.797077,1.000000,1.614,2026-01-31T02:30:35.706456
syn_scale,DIF_concat,1011,0.988262,0.862522,1.000000,1.510,2026-01-31T02:30:37.218904
syn_scale,LOF,1011,0.641962,0.176949,0.420000,0.046,2026-01-31T02:30:37.267672
syn_scale,QCAD,1011,0.990062,0.792224,0.910000,0.259,2026-01-31T02:30:37.528384
syn_scale,ROCOD,1011,0.999197,0.987758,1.000000,0.151,2026-01-31T02:30:37.681840
syn_scale,PNKDIF,1011,0.998924,0.983626,1.000000,1.810,2026-01-31T02:30:39.493706
syn_scale,PNKDIF_uniform,1011,0.999007,0.985400,1.000000,1.728,2026-01-31T02:30:41.224529
syn_scale,PNKDIF_noMLP,1011,0.998967,0.984536,1.000000,0.389,2026-01-31T02:30:41.616262
syn_scale,IF,1213,0.972619,0.819214,1.000000,0.275,2026-01-31T02:30:41.896199
syn_scale,IF_concat,1213,0.994453,0.907615,1.000000,0.272,2026-01-31T02:30:42.170822
syn_scale,DIF,1213,0.972620,0.819792,1.000000,1.624,2026-01-31T02:30:43.796871
syn_scale,DIF_concat,1213,0.990299,0.874432,1.000000,1.773,2026-01-31T02:30:45.571864
syn_scale,LOF,1213,0.609407,0.180288,0.410000,0.064,2026-01-31T02:30:45.638014
syn_scale,QCAD,1213,0.990115,0.801003,0.950000,0.287,2026-01-31T02:30:45.926875
syn_scale,ROCOD,1213,0.999418,0.990686,1.000000,0.154,2026-01-31T02:30:46.083703
syn_scale,PNKDIF,1213,0.999237,0.988622,1.000000,1.967,2026-01-31T02:30:48.052847
