dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,p_at_k,runtime_sec,timestamp
syn_highdim_context,ROCOD,2021,10000,20,3,0.05,0.867293,0.300712,0.52,0.294,2026-01-31T03:57:44.354904
syn_highdim_context,PNKDIF,2021,10000,20,3,0.05,0.921715,0.431793,0.5,1.591,2026-01-31T03:57:45.955275
syn_highdim_context,PNKDIF_uniform,2021,10000,20,3,0.05,0.920828,0.426579,0.49,1.55,2026-01-31T03:57:47.514368
syn_highdim_context,PNKDIF_noMLP,2021,10000,20,3,0.05,0.906092,0.403929,0.55,0.488,2026-01-31T03:57:48.009682
syn_highdim_context,PNKDIF_single,2021,10000,20,3,0.05,0.921812,0.432201,0.52,0.505,2026-01-31T03:57:48.523984
syn_highdim_context,PNKDIF_global,2021,10000,20,3,0.05,0.843065,0.264698,0.38,1.277,2026-01-31T03:57:49.808610
syn_cluster,IF,42,10000,2,3,0.05,0.508263,0.05386,0.05,0.187,2026-01-31T03:57:50.016850
syn_cluster,IF_concat,42,10000,2,3,0.05,0.783435,0.316459,0.71,0.193,2026-01-31T03:57:50.219386
syn_cluster,DIF,42,10000,2,3,0.05,0.503689,0.052263,0.06,1.246,2026-01-31T03:57:51.473676
syn_cluster,DIF_concat,42,10000,2,3,0.05,0.832361,0.413256,0.82,1.268,2026-01-31T03:57:52.750364
syn_cluster,LOF,42,10000,2,3,0.05,0.691313,0.224095,0.58,0.152,2026-01-31T03:57:52.912236
syn_cluster,QCAD,42,10000,2,3,0.05,0.86778,0.54179,0.98,0.408,2026-01-31T03:57:53.327983
syn_cluster,ROCOD,42,10000,2,3,0.05,0.941467,0.795001,0.99,0.264,2026-01-31T03:57:53.600465
syn_cluster,PNKDIF,42,10000,2,3,0.05,0.932374,0.763938,1.0,1.575,2026-01-31T03:57:55.183277
syn_cluster,PNKDIF_uniform,42,10000,2,3,0.05,0.933654,0.765615,0.99,1.573,2026-01-31T03:57:56.768538
syn_cluster,PNKDIF_noMLP,42,10000,2,3,0.05,0.929393,0.744242,0.99,0.627,2026-01-31T03:57:57.407893
syn_cluster,PNKDIF_single,42,10000,2,3,0.05,0.92871,0.751126,0.98,0.65,2026-01-31T03:57:58.070640
syn_cluster,PNKDIF_global,42,10000,2,3,0.05,0.506867,0.051984,0.06,1.901,2026-01-31T03:57:59.982652
syn_cluster,IF,123,10000,2,3,0.05,0.519823,0.05178,0.05,0.286,2026-01-31T03:58:00.294254
syn_cluster,IF_concat,123,10000,2,3,0.05,0.772681,0.229335,0.46,0.286,2026-01-31T03:58:00.591674
syn_cluster,DIF,123,10000,2,3,0.05,0.514541,0.050993,0.03,1.831,2026-01-31T03:58:02.434407
syn_cluster,DIF_concat,123,10000,2,3,0.05,0.790309,0.348932,0.73,1.77,2026-01-31T03:58:04.218184
syn_cluster,LOF,123,10000,2,3,0.05,0.763573,0.203455,0.37,0.243,2026-01-31T03:58:04.474401
syn_cluster,QCAD,123,10000,2,3,0.05,0.905611,0.557483,0.94,0.67,2026-01-31T03:58:05.152741
syn_cluster,ROCOD,123,10000,2,3,0.05,0.956113,0.707693,0.89,0.346,2026-01-31T03:58:05.510812
syn_cluster,PNKDIF,123,10000,2,3,0.05,0.959276,0.798459,0.93,2.25,2026-01-31T03:58:07.772067
syn_cluster,PNKDIF_uniform,123,10000,2,3,0.05,0.960062,0.805867,0.97,1.899,2026-01-31T03:58:09.681778
syn_cluster,PNKDIF_noMLP,123,10000,2,3,0.05,0.957527,0.800561,0.96,0.603,2026-01-31T03:58:10.293698
syn_cluster,PNKDIF_single,123,10000,2,3,0.05,0.95669,0.797059,0.98,0.437,2026-01-31T03:58:10.740178
syn_cluster,PNKDIF_global,123,10000,2,3,0.05,0.516734,0.05134,0.04,1.343,2026-01-31T03:58:12.091513
syn_cluster,IF,456,10000,2,3,0.05,0.510462,0.05266,0.04,0.199,2026-01-31T03:58:12.307508
syn_cluster,IF_concat,456,10000,2,3,0.05,0.816833,0.267574,0.54,0.194,2026-01-31T03:58:12.509987
syn_cluster,DIF,456,10000,2,3,0.05,0.506242,0.054034,0.06,1.307,2026-01-31T03:58:13.824232
syn_cluster,DIF_concat,456,10000,2,3,0.05,0.848024,0.392054,0.71,1.328,2026-01-31T03:58:15.160233
syn_cluster,LOF,456,10000,2,3,0.05,0.681955,0.148307,0.33,0.177,2026-01-31T03:58:15.345424
syn_cluster,QCAD,456,10000,2,3,0.05,0.846351,0.331723,0.58,0.436,2026-01-31T03:58:15.789681
syn_cluster,ROCOD,456,10000,2,3,0.05,0.889,0.405288,0.59,0.272,2026-01-31T03:58:16.071074
syn_cluster,PNKDIF,456,10000,2,3,0.05,0.902864,0.502863,0.69,1.586,2026-01-31T03:58:17.664471
syn_cluster,PNKDIF_uniform,456,10000,2,3,0.05,0.906281,0.506863,0.72,1.466,2026-01-31T03:58:19.138582
syn_cluster,PNKDIF_noMLP,456,10000,2,3,0.05,0.902306,0.455009,0.6,0.435,2026-01-31T03:58:19.582116
syn_cluster,PNKDIF_single,456,10000,2,3,0.05,0.899126,0.501049,0.7,0.464,2026-01-31T03:58:20.055511
syn_cluster,PNKDIF_global,456,10000,2,3,0.05,0.509538,0.053752,0.08,1.305,2026-01-31T03:58:21.368260
syn_cluster,IF,789,10000,2,3,0.05,0.492556,0.047654,0.0,0.194,2026-01-31T03:58:21.577777
syn_cluster,IF_concat,789,10000,2,3,0.05,0.775206,0.193686,0.37,0.19,2026-01-31T03:58:21.775734
syn_cluster,DIF,789,10000,2,3,0.05,0.49616,0.048434,0.02,1.262,2026-01-31T03:58:23.045683
syn_cluster,DIF_concat,789,10000,2,3,0.05,0.848644,0.304522,0.52,1.314,2026-01-31T03:58:24.368920
syn_cluster,LOF,789,10000,2,3,0.05,0.759764,0.20201,0.4,0.152,2026-01-31T03:58:24.528468
syn_cluster,QCAD,789,10000,2,3,0.05,0.866449,0.41594,0.84,0.413,2026-01-31T03:58:24.948954
syn_cluster,ROCOD,789,10000,2,3,0.05,0.914193,0.652912,0.91,0.273,2026-01-31T03:58:25.231290
syn_cluster,PNKDIF,789,10000,2,3,0.05,0.927807,0.707477,0.97,1.571,2026-01-31T03:58:26.809856
syn_cluster,PNKDIF_uniform,789,10000,2,3,0.05,0.928688,0.711016,0.96,1.519,2026-01-31T03:58:28.336876
syn_cluster,PNKDIF_noMLP,789,10000,2,3,0.05,0.924773,0.682657,0.95,0.444,2026-01-31T03:58:28.788865
syn_cluster,PNKDIF_single,789,10000,2,3,0.05,0.927845,0.711068,0.97,0.432,2026-01-31T03:58:29.229827
syn_cluster,PNKDIF_global,789,10000,2,3,0.05,0.490404,0.047419,0.01,1.2,2026-01-31T03:58:30.440365
syn_cluster,IF,1011,10000,2,3,0.05,0.500165,0.052154,0.07,0.188,2026-01-31T03:58:30.643140
syn_cluster,IF_concat,1011,10000,2,3,0.05,0.821803,0.215732,0.33,0.185,2026-01-31T03:58:30.836014
syn_cluster,DIF,1011,10000,2,3,0.05,0.500065,0.053097,0.05,1.308,2026-01-31T03:58:32.153755
syn_cluster,DIF_concat,1011,10000,2,3,0.05,0.853509,0.430691,0.82,1.306,2026-01-31T03:58:33.467911
syn_cluster,LOF,1011,10000,2,3,0.05,0.701343,0.225974,0.54,0.155,2026-01-31T03:58:33.630516
syn_cluster,QCAD,1011,10000,2,3,0.05,0.901626,0.576706,0.97,0.398,2026-01-31T03:58:34.035639
syn_cluster,ROCOD,1011,10000,2,3,0.05,0.986664,0.834061,0.88,0.269,2026-01-31T03:58:34.313575
syn_cluster,PNKDIF,1011,10000,2,3,0.05,0.987531,0.896172,0.96,1.516,2026-01-31T03:58:35.838256
syn_cluster,PNKDIF_uniform,1011,10000,2,3,0.05,0.986871,0.890803,0.97,1.463,2026-01-31T03:58:37.311298
syn_cluster,PNKDIF_noMLP,1011,10000,2,3,0.05,0.987967,0.884539,0.97,0.434,2026-01-31T03:58:37.754811
syn_cluster,PNKDIF_single,1011,10000,2,3,0.05,0.985,0.876811,0.97,0.453,2026-01-31T03:58:38.218550
syn_cluster,PNKDIF_global,1011,10000,2,3,0.05,0.505423,0.052905,0.05,1.267,2026-01-31T03:58:39.493582
syn_cluster,IF,1213,10000,2,3,0.05,0.522272,0.053416,0.02,0.204,2026-01-31T03:58:39.715697
syn_cluster,IF_concat,1213,10000,2,3,0.05,0.810686,0.383552,0.79,0.191,2026-01-31T03:58:39.915547
syn_cluster,DIF,1213,10000,2,3,0.05,0.5298,0.05495,0.05,1.259,2026-01-31T03:58:41.183392
syn_cluster,DIF_concat,1213,10000,2,3,0.05,0.819588,0.530889,0.94,1.27,2026-01-31T03:58:42.463689
syn_cluster,LOF,1213,10000,2,3,0.05,0.68762,0.18321,0.45,0.173,2026-01-31T03:58:42.646507
syn_cluster,QCAD,1213,10000,2,3,0.05,0.921638,0.610937,1.0,0.412,2026-01-31T03:58:43.067616
syn_cluster,ROCOD,1213,10000,2,3,0.05,0.956277,0.760978,0.98,0.274,2026-01-31T03:58:43.350185
syn_cluster,PNKDIF,1213,10000,2,3,0.05,0.966551,0.814592,0.99,1.565,2026-01-31T03:58:44.924124
syn_cluster,PNKDIF_uniform,1213,10000,2,3,0.05,0.968567,0.819282,1.0,1.589,2026-01-31T03:58:46.523651
syn_cluster,PNKDIF_noMLP,1213,10000,2,3,0.05,0.966428,0.816278,0.99,0.486,2026-01-31T03:58:47.019147
syn_cluster,PNKDIF_single,1213,10000,2,3,0.05,0.96419,0.810131,0.99,0.492,2026-01-31T03:58:47.519949
syn_cluster,PNKDIF_global,1213,10000,2,3,0.05,0.530585,0.053918,0.03,1.356,2026-01-31T03:58:48.884954
syn_cluster,IF,1415,10000,2,3,0.05,0.512494,0.052345,0.04,0.215,2026-01-31T03:58:49.118861
syn_cluster,IF_concat,1415,10000,2,3,0.05,0.869362,0.356541,0.64,0.211,2026-01-31T03:58:49.338623
syn_cluster,DIF,1415,10000,2,3,0.05,0.517831,0.052707,0.04,1.353,2026-01-31T03:58:50.700183
syn_cluster,DIF_concat,1415,10000,2,3,0.05,0.934185,0.615915,0.93,1.33,2026-01-31T03:58:52.040249
syn_cluster,LOF,1415,10000,2,3,0.05,0.626726,0.146723,0.35,0.168,2026-01-31T03:58:52.217206
syn_cluster,QCAD,1415,10000,2,3,0.05,0.918267,0.580856,0.98,0.429,2026-01-31T03:58:52.656985
syn_cluster,ROCOD,1415,10000,2,3,0.05,0.98322,0.927912,0.99,0.279,2026-01-31T03:58:52.949155
syn_cluster,PNKDIF,1415,10000,2,3,0.05,0.985867,0.934274,1.0,1.607,2026-01-31T03:58:54.565351
syn_cluster,PNKDIF_uniform,1415,10000,2,3,0.05,0.985596,0.934837,1.0,1.57,2026-01-31T03:58:56.145094
syn_cluster,PNKDIF_noMLP,1415,10000,2,3,0.05,0.985463,0.92267,0.98,0.453,2026-01-31T03:58:56.608603
syn_cluster,PNKDIF_single,1415,10000,2,3,0.05,0.983297,0.916847,1.0,0.524,2026-01-31T03:58:57.140993
syn_cluster,PNKDIF_global,1415,10000,2,3,0.05,0.510046,0.05174,0.03,1.89,2026-01-31T03:58:59.039347
syn_cluster,IF,1617,10000,2,3,0.05,0.484029,0.050095,0.05,0.229,2026-01-31T03:58:59.291990
syn_cluster,IF_concat,1617,10000,2,3,0.05,0.854464,0.444267,0.79,0.316,2026-01-31T03:58:59.617932
syn_cluster,DIF,1617,10000,2,3,0.05,0.487788,0.05131,0.06,1.964,2026-01-31T03:59:01.593253
syn_cluster,DIF_concat,1617,10000,2,3,0.05,0.902651,0.645704,0.95,1.612,2026-01-31T03:59:03.214419
syn_cluster,LOF,1617,10000,2,3,0.05,0.546224,0.096318,0.27,0.168,2026-01-31T03:59:03.390919
syn_cluster,QCAD,1617,10000,2,3,0.05,0.875733,0.505025,0.92,0.442,2026-01-31T03:59:03.841898
syn_cluster,ROCOD,1617,10000,2,3,0.05,0.961452,0.8682,1.0,0.279,2026-01-31T03:59:04.132196
syn_cluster,PNKDIF,1617,10000,2,3,0.05,0.965331,0.876981,1.0,1.574,2026-01-31T03:59:05.715570
syn_cluster,PNKDIF_uniform,1617,10000,2,3,0.05,0.966543,0.871974,1.0,2.122,2026-01-31T03:59:07.845783
syn_cluster,PNKDIF_noMLP,1617,10000,2,3,0.05,0.96376,0.848152,1.0,0.638,2026-01-31T03:59:08.494177
syn_cluster,PNKDIF_single,1617,10000,2,3,0.05,0.963895,0.862556,1.0,0.683,2026-01-31T03:59:09.189366
syn_cluster,PNKDIF_global,1617,10000,2,3,0.05,0.493091,0.051134,0.05,1.888,2026-01-31T03:59:11.089876
syn_cluster,IF,1819,10000,2,3,0.05,0.504836,0.052282,0.07,0.302,2026-01-31T03:59:11.417824
syn_cluster,IF_concat,1819,10000,2,3,0.05,0.855566,0.393809,0.72,0.309,2026-01-31T03:59:11.741443
syn_cluster,DIF,1819,10000,2,3,0.05,0.513372,0.052227,0.06,2.278,2026-01-31T03:59:14.033341
syn_cluster,DIF_concat,1819,10000,2,3,0.05,0.903878,0.598778,0.9,1.858,2026-01-31T03:59:15.903917
syn_cluster,LOF,1819,10000,2,3,0.05,0.594281,0.121549,0.33,0.256,2026-01-31T03:59:16.173092
